id,genre,trackName,artistName,valence,energy
1KzxgnTo2nKbuiTlJPKCjc,acoustic,Whisper the Answer,Gregory and the Hawk,0.249,0.372
265Anh9hGoozFigjUVLUeD,acoustic,New Shoes,Paolo Nutini,0.854,0.735
6qTmjG7thRJEOaUKFmfjGR,acoustic,The Last Day on Earth,Kate Miller-Heidke,0.168,0.44
1WbYFNSUNn9fP1x0Z5DU95,acoustic,Riptide,MisterWives,0.362,0.677
4fZ0mkzk0ktr4WVfjqyUv2,acoustic,Hear Me Now,Boyce Avenue,0.323,0.836
7bcHBD27hxkK5aSXjWOysM,acoustic,When I Held Ya,Moa Lignell,0.418,0.645
1KqlVt63Q4bl1VdSlymr5C,acoustic,Riptide,Vance Joy,0.51,0.731
1ZXSLHLp5AJnCp12UXdYiO,acoustic,Sex On Fire,Alex Cornell,0.0568,0.408
4VJgrWjrkodaGiq3xKz62z,acoustic,Sometimes (I Wish),City and Colour,0.135,0.467
3i508xSmrzqtAGl6wYPGae,acoustic,Something In The Air,The Jepettos,0.122,0.542
55fC1vUs7mVzOH7RipVlXR,afrobeat,Palea,Dobet Gnahoré,0.603,0.453
0RdXMS28fH63l6Is3eHZXM,afrobeat,See Me So,2Baba,0.853,0.484
161fk9qHtXsdHPzIGLFHWo,afrobeat,Yabis,Various Artists,0.639,0.629
1mwt9hzaH7idmC5UCoOUkz,afrobeat,Diamonds,Rihanna,0.369,0.674
3oJOtvPbyOqRPlFvspQP3o,afrobeat,Djuru,Amadou & Mariam,0.697,0.798
7bX1buX1LfDCRXrEp403nh,afrobeat,Igbe,Fela Kuti,0.722,0.775
6VhfsXyTnRRnNX77dQO1WA,afrobeat,Shining Star,Nneka,0.532,0.595
4Pl8ViAolRF4rK8QBMhKd9,afrobeat,Redemption Song,Bob Marley & The Wailers,0.698,0.259
4aTVzrK2pUSSlBq0th31oB,afrobeat,Ukwu,Timaya,0.649,0.833
2Hoakj7ynnOYZQFX4FpYIz,afrobeat,Nightwalk,JuJu (Justin Adams & Juldeh Camara),0.665,0.877
7wvrr5PXgetOyljccwpKnD,alt-rock,Benediction,Thurston Moore,0.556,0.481
5EBDvc4cX8tqalRFGRwm7A,alt-rock,Liar,Built To Spill,0.538,0.755
0gmmDw2VIZn8BsGq1mwYlK,alt-rock,Homage,Alien Ant Farm,0.53,0.936
4R7Qay92W6pX5FGlSOHPl4,alt-rock,American Music,Violent Femmes,0.795,0.704
56SkdBKyR2zOkjk6wVFI9s,alt-rock,Possum Kingdom,Toadies,0.925,0.726
6tb7flAIRdJVuUfdgwbhJa,alt-rock,Tahitian Moon,Perry Farrell,0.35,0.716
19pQaJUSEtn31fpO6RozaH,alt-rock,A Million Little Pieces,Placebo,0.606,0.858
6xyd8KWUlBxCE9hANhl71N,alt-rock,Heartbreaker,The Walkmen,0.391,0.849
466LASOuTbWDkrwZ3Ylxvv,alt-rock,Beat The Devil's Tattoo,Black Rebel Motorcycle Club,0.707,0.921
4DfGcn3VVcdmmJl1PWNAkv,alt-rock,Karate Lips,Electric Six,0.472,0.965
0KNVDEeZWXZPIYKqJeRRpX,alternative,If You Wanna,The Vaccines,0.544,0.866
5lDriBxJd22IhOH9zTcFrV,alternative,Dirty Little Secret,The All-American Rejects,0.458,0.954
2Oj5BXOY01EDuJhVYNlEoq,alternative,Safe And Sound,Capital Cities,0.836,0.783
2ZQyksYO4zzhyHNcueL0CP,alternative,Home,Phillip Phillips,0.293,0.792
3dw0A0cbqT6Oy2V8KfGwIT,alternative,Tiptoe,Imagine Dragons,0.25,0.82
6cWpj6c5pNZYEk5KYjNBji,alternative,Let It Go,The Neighbourhood,0.285,0.79
3PvzvltQZLIKk9YgoMP3Yq,alternative,The Mother We Share,CHVRCHES,0.317,0.716
1Q2fYlSdwuutWj3QplhY9q,alternative,Riot,Three Days Grace,0.316,0.948
4Wvr1YaxNsCujq77dKujys,alternative,Believe,The Bravery,0.517,0.949
1VQ6FXasIrdkshSHfX6sde,alternative,Entertainment,Phoenix,0.479,0.731
5v8tkWxBbFuRwpS7ou18SN,ambient,Small Little Green Cubes,AES DANA,0.0766,0.509
4upUGbQVqH0qlhEmCM79f1,ambient,Second Narrows,Loscil,0.146,0.215
4zAzF8denMQ2A21pWfP8M8,ambient,Blumenthal,Ulrich Schnauss,0.0658,0.52
4sEG0E3IBQHp6V2DGTnXNX,ambient,Held together by gravity,Carbon Based Lifeforms,0.0527,0.374
0R8KuL4OaQtPsEdMInoy4R,ambient,The Time to Sleep,Marble Sounds,0.0531,0.614
5QhMDMcK5Wf8xUKmwrTvWo,ambient,Andaman,Manual,0.0396,0.208
4Rfp8JgdGLIwaNsYvapTzS,ambient,Aragon - 2005 Digital Remaster,Brian Eno,0.127,0.00633
120qQ1McNzHpwdB9fd7j4v,ambient,Earth (Gaia),The Orb,0.0574,0.529
3md3vi2KPEjP6hk4Rs21oV,ambient,Rain Geometrics,H.U.V.A. Network,0.287,0.38
